ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
24341018;24341018-int;898;1177;279;25/02/2021;202104;60;DOM
24341019;24341019-int;100;104;4;25/02/2021;202104;60;DOM
24341020;24341020-int;1192;1351;159;25/02/2021;202104;60;DOM
24341021;24341021-int;1258;1335;77;25/02/2021;202104;60;DOM
24341022;24341022-int;1228;1235;7;25/02/2021;202104;60;DOM
24341023;24341023-int;2012;2301;289;25/02/2021;202104;60;DOM
24341024;24341024-int;651;754;103;25/02/2021;202104;60;DOM
24341025;24341025-int;219;552;333;25/02/2021;202104;60;DOM
24341026;24341026-int;985;1009;24;25/02/2021;202104;60;DOM
24341027;24341027-int;1871;2063;192;25/02/2021;202104;60;DOM
24341028;24341028-int;53;105;52;25/02/2021;202104;60;DOM
24341029;24341029-int;99;114;15;25/02/2021;202104;60;DOM
24341030;24341030-int;4700;5485;785;25/02/2021;202104;60;DOM
24341031;24341031-int;1556;1762;206;25/02/2021;202104;60;DOM
