ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
22201045;150303-0301;3014;3027;13;28/10/2020;202010;30;PRO
22201057;144;5169;5205;36;28/10/2020;202010;30;PRO
22201079;170404-0024;7288;7404;116;28/10/2020;202010;30;PRO
22201133;82450645;94;94;0;28/10/2020;202010;30;PRO
22201101;9231;1131;1219;88;28/10/2020;202010;30;PRO
22201163;37219562032-5;451;902;451;28/10/2020;202010;30;PRO
22102002;3523;11504;11928;424;28/10/2020;202010;30;PRO
22102049;82369841;317;340;23;28/10/2020;202010;30;PRO
22102103;41290335;2523;2738;215;28/10/2020;202010;30;PRO
22102148;41290021;8197;8514;317;28/10/2020;202010;30;PRO
22102157; 37219561737-0;222;251;29;28/10/2020;202010;30;PRO
22613004;41290209;1978;2336;358;28/10/2020;202010;30;PRO
22613005;41290196;435;436;1;28/10/2020;202010;30;PRO
22613109;41289333;57445;69974;12529;28/10/2020;202010;30;PRO
22613006;82450167;481;483;2;28/10/2020;202010;30;PRO
21106053;41290095;8960;10204;1244;28/10/2020;202010;30;PRO
21106050;41289978;465;475;10;28/10/2020;202010;30;PRO
21106049;41290398;4604;5648;1044;28/10/2020;202010;30;PRO
21106002;82369426;726;779;53;28/10/2020;202010;30;PRO
21106047;82369010;1769;1876;107;28/10/2020;202010;30;PRO
21106021;82368916;534;534;0;28/10/2020;202010;30;PRO
21106015;82368620;2257;2257;0;28/10/2020;202010;30;PRO
21106019;82449039;18;18;0;28/10/2020;202010;30;PRO
21106078;37219574417-4;136;136;0;28/10/2020;202010;30;PRO
22103011;30042484;10902;11173;271;28/10/2020;202010;30;PRO
22103013;150303-0402;2620;2748;128;28/10/2020;202010;30;PRO
22103021;3448;55975;56618;643;28/10/2020;202010;30;PRO
22103054;3437;7680;8048;368;28/10/2020;202010;30;PRO
22103063;170809-0368;362;393;31;28/10/2020;202010;30;PRO
22601024;3473;83474;84446;972;28/10/2020;202010;30;PRO
22601016;4240;18259;18771;512;28/10/2020;202010;30;PRO
22601055;3801;11539;11826;287;28/10/2020;202010;30;PRO
22601020;1503030166;1982;2007;25;28/10/2020;202010;30;PRO
22601034;150303-0002;2242;2264;22;28/10/2020;202010;30;PRO
22601021;150303-0119;4433;4486;53;28/10/2020;202010;30;PRO
22601066;82450299;811;811;0;28/10/2020;202010;30;PRO
22601063;82450242;1436;1524;88;28/10/2020;202010;30;PRO
21117027;41289345;1482;1728;246;28/10/2020;202010;30;PRO
22602006;30042025;26366;27185;819;28/10/2020;202010;30;PRO
22602035;4254;5998;6123;125;28/10/2020;202010;30;PRO
22602030;141826301;2614;2614;0;28/10/2020;202010;30;PRO
22602063;41290334;1731;2100;369;28/10/2020;202010;30;PRO
22602080;41290359;15479;16155;676;28/10/2020;202010;30;PRO
22602011;150303-0370;12127;12394;267;28/10/2020;202010;30;PRO
22602023;150303-0109;0;0;0;28/10/2020;202010;30;PRO
22602038;3464;3212;3280;68;28/10/2020;202010;30;PRO
22602043;150303-0096;2799;2881;82;28/10/2020;202010;30;PRO
22104003;4261;6729;6942;213;28/10/2020;202010;30;PRO
22104024;41235765;56424;58089;1665;28/10/2020;202010;30;PRO
22104028;3458;4461;4461;0;28/10/2020;202010;30;PRO
22106002;3444;2417;2453;36;28/10/2020;202010;30;PRO
21125041;41289045;449;579;130;28/10/2020;202010;30;PRO
22401007;4250;10115;10647;532;28/10/2020;202010;30;PRO
22401008;3704;17982;18658;676;28/10/2020;202010;30;PRO
22401027;82448578;453;497;44;28/10/2020;202010;30;PRO
22401031;170809-0164;1271;1289;18;28/10/2020;202010;30;PRO
22401035;170809-0369;735;745;10;28/10/2020;202010;30;PRO
22401037;170809-0226;788;790;2;28/10/2020;202010;30;PRO
22401039;41235809;1646;1876;230;28/10/2020;202010;30;PRO
22401093;41289809;4794;5259;465;28/10/2020;202010;30;PRO
22401077;82448790;276;276;0;28/10/2020;202010;30;PRO
41201047;30042253;11935;12073;138;28/10/2020;202010;30;PRO
